Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
JD Davison,SG,SG,21,8.0,4.9,35.78,24.51,34.23,12.79,27.98,11997,2332.25
Mamadi Diakite,PF,PF,27,4.5,4.0,37.73,24.2,28.09,17.44,27.88,464050,60.08
Colby Jones,SG,SG,21,30.0,6.4,30.67,22.5,35.82,17.51,27.28,2120693,12.86
Chris Livingston,SF,SF,20,21.0,4.3,41.89,20.19,25.3,14.76,26.89,1891857,14.21
Kevon Harris,SG,SG,26,2.0,3.0,47.61,13.1,18.34,17.57,25.66,119972,213.88
Cody Zeller,C,C,31,43.0,7.399999999999999,24.94,27.13,32.13,15.55,25.41,3500000,7.26
Wendell Moore Jr.,SG,SG,22,25.0,3.0,39.1,22.2,19.4,14.95,25.12,2537040,9.9
Pat Spencer,PG,PG,27,6.0,4.3,33.93,16.65,29.88,16.47,25.11,438810,57.22
Taj Gibson,PF,PF,38,16.8,10.2,26.15,25.19,39.3,5.48,25.06,2087519,12.0
Jalen Pickett,SG,SG,24,27.0,4.5,25.96,18.03,28.95,21.35,23.8,1891857,12.58
Ty Jerome,SG,SG,26,2.0,7.5,30.71,7.71,35.51,16.17,23.25,2560975,9.08
Cole Swider,SF,SF,24,18.0,4.8,24.82,20.35,26.23,20.12,23.12,227947,101.43
Hunter Tyson,PF,PF,23,18.0,2.7,29.0,16.34,29.81,14.29,23.1,1891857,12.21
Cory Joseph,PG,PG,32,26.0,11.400000000000002,18.67,21.58,42.15,7.72,23.08,3303771,6.99
AJ Griffin,SF,SF,20,20.0,8.6,14.87,24.2,35.1,15.67,22.42,250000,89.68
Markieff Morris,PF,PF,34,26.0,8.3,18.22,29.13,32.57,7.61,22.41,2087519,10.74
Jett Howard,SF,SF,20,18.0,3.7000000000000006,21.59,20.35,30.21,14.62,22.04,5278320,4.18
Daishen Nix,PG,PG,21,15.0,3.3,22.19,21.12,25.85,14.41,21.28,119972,177.37
Jalen Hood-Schifino,SG,SG,20,21.0,5.2,12.39,19.11,27.54,15.11,18.4,3879840,4.74
DaQuan Jeffries,SG,SG,26,17.0,2.7,7.35,19.27,24.35,18.76,16.86,2425404,6.95
E.J. Liddell,PF,PF,23,8.0,2.9,9.16,29.75,11.88,11.69,15.49,706898,21.91
Charlie Brown Jr.,SG,SG,26,8.0,4.6,0.0,17.26,20.48,16.93,12.82,2237692,5.73
James Johnson,PF,PF,36,9.0,5.2,0.0,23.43,19.25,2.0,11.07,2087519,5.3
Maxwell Lewis,SF,SF,21,34.0,3.0,0.0,17.42,10.06,16.04,10.08,1891857,5.33
Joshua Primo,SG,SG,21,2.0,5.0,0.0,24.66,0.0,10.79,8.32,1000000,8.32
