Player,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score
Amen Thompson,SF,21,62.0,22.4,55.71,71.68,59.82,49.69,59.53
De'Anthony Melton,SG,25,38.0,26.9,50.83,63.2,70.56,54.21,59.53
Malcolm Brogdon,PG,31,39.0,28.7,62.51,49.17,79.64,42.53,59.46
Terance Mann,SG,27,75.0,25.0,65.98,35.92,65.5,71.29,59.41
Marvin Bagley III,C,24,37.52,21.094,73.34,56.44,56.17,46.09,59.37
Bruce Brown,PG,27,50.25373134328358,27.861194029850747,58.49,51.64,68.97,57.44,59.19
Andrew Wiggins,SF,28,71.0,27.0,59.74,49.17,66.91,59.9,58.92
Luke Kornet,C,28,63.0,15.6,87.63,53.33,53.13,28.94,58.69
Jaime Jaquez Jr.,SF,22,75.0,28.2,59.92,47.48,67.75,59.24,58.63
Brandon Clarke,PF,27,6.0,22.3,64.98,68.29,65.78,28.03,58.62
Brandin Podziemski,SG,20,74.0,26.6,46.27,60.42,71.46,58.63,58.58
Ausar Thompson,SF,21,63.0,25.1,47.43,70.6,62.13,55.55,58.52
Shaedon Sharpe,SG,20,32.0,33.1,53.65,52.1,74.16,54.05,58.47
Draymond Green,PF,33,55.0,27.1,33.75,82.0,70.82,48.21,57.97
Paul Reed,C,24,82.0,19.4,58.69,63.51,55.71,52.43,57.9
Trayce Jackson-Davis,PF,23,68.0,16.6,75.73,58.57,50.92,38.98,57.89
Tari Eason,PF,22,22.0,21.8,53.09,85.55,59.8,26.89,57.64
Jabari Walker,SF,21,72.0,23.6,56.01,59.81,59.94,54.11,57.56
Vince Williams Jr.,SG,23,52.0,27.6,47.15,65.66,65.85,52.66,57.55
Dillon Brooks,SF,28,72.0,30.899999999999995,56.49,33.45,70.68,72.61,57.5
Corey Kispert,SF,24,80.0,25.8,63.9,36.69,64.1,64.84,57.34
Malik Monk,SG,25,72.0,26.0,57.67,42.85,71.36,57.36,57.33
Isaac Okoro,SF,23,69.0,27.3,59.1,42.54,67.56,60.34,57.32
Jaden McDaniels,SF,23,72.0,29.200000000000003,55.44,41.31,65.9,69.36,57.31
Mitchell Robinson,C,25,31.0,24.8,44.05,80.15,59.12,46.37,57.31
Derrick Jones Jr.,SF,26,76.0,23.5,55.67,49.33,57.67,69.14,57.28
Kevin Huerter,SG,25,64.0,24.4,52.47,46.4,66.93,65.6,57.19
Norman Powell,SG,30,76.0,26.2,70.82,40.39,63.63,49.68,57.19
Andre Drummond,C,30,79.0,17.1,58.0,81.08,48.59,36.71,57.16
Jaden Ivey,SG,21,77.0,28.799999999999997,52.11,38.84,69.75,69.25,56.63
Jordan Clarkson,SG,31,55.0,30.6,55.06,39.92,76.43,53.89,56.38
Tim Hardaway Jr.,SF,31,79.0,26.800000000000004,58.28,43.31,68.04,53.46,56.01
Chris Paul,PG,38,58.0,26.4,45.64,58.11,79.28,39.62,55.96
GG Jackson II,PF,19,48.0,25.7,58.74,53.49,62.06,46.35,55.78
Jalen Smith,C,23,61.0,17.2,74.23,50.87,52.7,37.27,55.62
Jonathan Isaac,PF,26,58.0,15.8,60.5,71.68,48.86,36.7,55.62
Dorian Finney-Smith,PF,30,68.0,28.4,44.07,53.03,68.21,58.84,55.3
Payton Pritchard,PG,26,82.0,22.3,56.65,38.69,67.49,58.5,55.24
Bennedict Mathurin,SF,21,59.0,26.1,62.34,41.62,63.6,50.97,55.2
Sam Hauser,SF,26,79.0,22.0,54.56,47.01,61.29,58.41,55.12
Precious Achiuwa,PF,24,57.445945945945944,21.91824324324324,48.42,65.35,56.44,50.48,55.07
Marcus Smart,PG,29,20.0,30.3,44.71,61.19,69.02,44.81,54.93
Spencer Dinwiddie,PG,30,58.31578947368421,28.30263157894737,50.57,41.27,75.63,52.55,54.91
Patrick Williams,PF,22,43.0,27.3,49.37,57.34,62.98,49.02,54.7
Moritz Wagner,C,26,80.0,17.7,75.65,41.62,48.94,46.55,54.64
Ben Simmons,PG,27,15.0,23.9,32.77,77.38,68.69,40.84,54.52
Zach Collins,C,26,69.0,22.1,51.84,50.56,58.29,58.54,54.47
Buddy Hield,SG,31,64.19047619047619,25.719047619047622,52.23,46.82,67.23,50.49,54.28
Caleb Martin,SF,28,64.0,27.4,48.65,51.79,67.06,49.19,54.15
Taurean Prince,PF,29,78.0,27.0,48.92,46.09,64.01,59.62,54.13
Cole Anthony,PG,23,81.0,22.4,53.07,50.25,60.27,52.52,54.06
Grant Williams,PF,25,58.06578947368421,28.00131578947369,50.31,41.21,65.77,60.2,53.88
Duncan Robinson,SF,29,68.0,28.0,57.17,34.84,68.11,54.63,53.81
Robert Williams,C,26,6.0,19.8,63.12,79.85,44.57,18.35,53.71
Tre Mann,PG,22,32.1219512195122,24.09390243902439,47.06,59.16,64.7,42.99,53.68
Kelly Olynyk,C,32,60.05128205128205,22.576923076923077,56.9,52.58,61.97,38.18,53.34
Eric Gordon,SG,35,68.0,27.8,52.26,46.86,66.58,46.46,53.33
Simone Fontecchio,SF,28,53.878787878787875,24.91060606060606,54.99,47.2,62.29,47.25,53.32
Bilal Coulibaly,SF,19,63.0,27.2,42.89,59.5,60.74,51.55,53.24
Matisse Thybulle,SF,26,65.0,22.9,36.33,65.66,59.27,54.54,53.04
Luke Kennard,SG,27,39.0,25.6,52.8,42.85,66.19,49.49,53.0
Goga Bitadze,C,24,62.0,15.4,57.33,60.58,46.57,44.91,52.97
Keyonte George,PG,20,75.0,27.0,43.91,41.31,66.96,63.17,52.87
Cason Wallace,SG,20,82.0,20.6,55.47,43.78,58.71,52.75,52.81
T.J. McConnell,PG,31,71.0,18.2,60.72,47.63,63.46,34.03,52.79
Russell Westbrook,PG,35,68.0,22.5,44.68,61.66,64.34,39.29,52.76
Andrew Nembhard,PG,24,68.0,25.0,49.94,31.6,66.83,64.24,52.44
Taylor Hendricks,PF,20,40.0,21.4,48.98,60.89,55.96,42.56,52.42
Nickeil Alexander-Walker,SG,25,82.0,23.4,46.82,41.16,62.53,62.11,52.39
Scotty Pippen Jr.,PG,23,21.0,25.1,49.89,53.18,64.62,39.18,52.25
Kyle Anderson,PF,30,79.0,22.6,41.28,55.8,64.67,47.84,52.07
Toumani Camara,PF,23,70.0,24.8,44.12,48.86,57.96,59.8,51.9
